handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_a62c45ce-f101-4f9a-9190-e846410d9781,PRODUCT,AIB - Milky Nude,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgba(74, 74, 74, 0.75)"">Cet acrygel hybride en flacon allie la flexibilité d'un gel à la résistance de l'acrylique, dans un flacon pratique avec pinceau intégré. La teinte «&nbsp;Milky Nude&nbsp;» offre un fini nude doux, idéal pour les recouvrements d'ongles naturels, le renforcement ou la création d'extensions subtiles. Sa formule à viscosité moyenne et auto-nivelante reste en place jusqu'à la mise en forme.</span></p>",aib;purple,aib,,,,,15.95,,,,,,10.57,3,false,,,,5600920741561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_a62c45ce-f101-4f9a-9190-e846410d9781,MEDIA,,,,,,5bdc9f_ec4a911a56024d67afb9d90e58cc1de6~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_a62c45ce-f101-4f9a-9190-e846410d9781,MEDIA,,,,,,5bdc9f_d480a57e1c1049d7ad001747cf2c775c~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_19774834-68f4-492a-a563-17eef709ca36,PRODUCT,AIB - Beige,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgba(74, 74, 74, 0.75)"">Ce gel acrylique hybride «&nbsp;Beige&nbsp;» est présenté dans un flacon pratique avec applicateur pinceau. Sa teinte beige neutre et douce se fond harmonieusement avec de nombreuses carnations, tout en assurant résistance et un fini professionnel. Sa texture thixotrope et auto-nivelante le rend facile à utiliser et performant, idéal pour les recouvrements, le renforcement des ongles naturels et les extensions sculptées.</span></p>",purple;aib,aib,,,,,15.95,,,,,,10.57,3,false,,,,5600920741417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_19774834-68f4-492a-a563-17eef709ca36,MEDIA,,,,,,5bdc9f_ebbcb82288b442d1bfb6adcc981edf1b~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_19774834-68f4-492a-a563-17eef709ca36,MEDIA,,,,,,5bdc9f_b228e691cd694028ae02465b9dc49191~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_bf1c3808-a9b0-46dd-858d-b48331d9cf29,PRODUCT,AIB - Milky Pink,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgba(74, 74, 74, 0.75)"">Cet acrygel hybride en flacon présente une douce teinte rose laiteux. Il allie la résistance de l'acrylique à la flexibilité du gel, offrant une solution performante et maîtrisée grâce à son flacon applicateur pinceau intégré. Idéal pour les recouvrements, le renforcement des ongles naturels, les extensions et une finition élégante. Sa formule thixotrope lui confère une texture lisse et une application homogène (il reste en place jusqu'à ce qu'on le retravaille avec le pinceau).</span></p>",purple;aib,aib,,,,,15.95,,,,,,10.4,0,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_bf1c3808-a9b0-46dd-858d-b48331d9cf29,MEDIA,,,,,,5bdc9f_91ad81826412424b9ece8a38870e5538~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_bf1c3808-a9b0-46dd-858d-b48331d9cf29,MEDIA,,,,,,5bdc9f_08b1d059486f4ed385b9c97452e6f7a6~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_c6be7d4a-3ef9-4814-ae3b-2b8ed6f5a36c,PRODUCT,AIB - Milky White,true,"<p><span style=""font-weight: 700; color: rgba(74, 74, 74, 0.75)"">Contenance disponible :</span><span style=""color: rgba(74, 74, 74, 0.75)"">&nbsp;15 ml.</span></p><p><span style=""background-color: rgb(255, 255, 255); color: rgba(74, 74, 74, 0.75)"">Acrygel In Bottle Milky White est un acrygel hybride haute performance (gel + acrylique) présenté dans un flacon applicateur pinceau. Sa teinte «&nbsp;Blanc Lait&nbsp;» offre un fini blanc doux semi-opaque, idéal pour les ongles nécessitant un renforcement, une restauration ou des extensions sculptées, pour un résultat blanc net et élégant. Sa formule thixotrope et auto-nivelante permet une application précise et des résultats professionnels.</span></p>",purple;aib,aib,,,,,15.95,,,,,,10.57,3,false,,,,5600920741370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
