productHandle,productName,option1,choice1,option2,choice2,option3,choice3,option4,choice4,option5,choice5,option6,choice6,sku,barcode,locationName,inventoryCurrent,inventoryNew
Product_19774834-68f4-492a-a563-17eef709ca36,AIB - Beige,,,,,,,,,,,,,,5600920741417,Default Online Stores Location,3,
Product_a62c45ce-f101-4f9a-9190-e846410d9781,AIB - Milky Nude,,,,,,,,,,,,,,5600920741561,Default Online Stores Location,3,
Product_bf1c3808-a9b0-46dd-858d-b48331d9cf29,AIB - Milky Pink,,,,,,,,,,,,,,,Default Online Stores Location,0,
Product_c6be7d4a-3ef9-4814-ae3b-2b8ed6f5a36c,AIB - Milky White,,,,,,,,,,,,,,5600920741370,Default Online Stores Location,3,
Product_77f7e5fa-1347-46e6-a144-676fb6594702,Aimant cylindrique,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_ac4daa91-cc4c-43a8-a8f5-53ce8a8d50f4,Aimant double tête pour effet Cat Eye,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_01b74fe8-d779-4b79-9454-8dab54a1648f,BIB - Milky Nude,,,,,,,,,,,,,,,Default Online Stores Location,0,
Product_c48114d3-b73c-4964-9881-6af0e1721daa,BIB - Milky Pink,,,,,,,,,,,,,,5600920739193,Default Online Stores Location,3,
Product_79502ed9-c989-40f2-9ad4-5829a576c26b,BIB - Pink Bubble,,,,,,,,,,,,,,5600920741226,Default Online Stores Location,3,
Product_9fb50353-0bcf-4f48-992b-d4277100be64,Base Camouflage - 2.2,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_42555bf6-8e59-48a7-af13-8681c164f0b4,Base Camouflage - 2.4,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_c24cfdfe-9f6f-43f7-b0f7-cf397a6a9460,Base Camouflage - 2.7,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_1e2bf47e-9f9c-4762-9e5d-5334cb0f539c,Base Camouflage - 2.8,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_e6944256-a096-43db-9fa8-9d18117c47bc,Base Camouflage - 2.9,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_7a82d9ef-8f47-42c0-8c47-e367e7265faa,Base Flex - Base d'adhérence universelle,,,,,,,,,,,,,,,Default Online Stores Location,4,
Product_eebe7140-b418-4c10-a87f-7d22f401e837,Base Gel - Clear,,,,,,,,,,,,,,0102121000010,Default Online Stores Location,2,
Product_e846c3dc-ad07-47b5-b693-0ea99de2afee,Base d'adhérence - Alternative à la Base Flex (ALBI),,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_1a704262-fc69-482a-b350-7c57e1ad38ca,Base d'adhérence - Fluide 1.1,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_fec6ea64-b64c-439e-a5bb-67445e6e9018,Base d'adhérence - Renforcée 1.4,,,,,,,,,,,,,,,Default Online Stores Location,3,
Product_569e3737-63f6-45ad-99aa-bc42425f92e4,Base en bois lime EXPERT 20 (50 Pcs),,,,,,,,,,,,,,4820241061136,Default Online Stores Location,3,
Product_ffbc8388-f96a-47b7-8617-beb52370c4d8,Bougie - Jasmine & Oud,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_286c2422-cefc-424e-b375-c564c5f7abe5,Bougie - Myrrh & Sandalwood,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_51c55b18-6df4-4d57-93ec-4d138aed7434,Bougie - Palo Santo & Lavender,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_27fbb8f8-8371-4392-894a-34b79c070be6,Bougie - Patchouli & Orange,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_6d66ade6-b287-4666-a3a7-72747fbb3c22,Bougie - Rose & Peony,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_55846530-e29b-4cda-b29a-1aadea00a516,Bougie - Sage & White Tea,,,,,,,,,,,,,,,Default Online Stores Location,2,
Product_3b36d3f6-df8b-41ae-ab26-938358ecb06b,Builder Gel Botanica - Magenta,,,,,,,,,,,,,,4687206827448,Default Online Stores Location,3,
Product_869d5a27-85fd-435a-8724-4d5de5cfe895,Builder Gel Botanica - Sunny,,,,,,,,,,,,,,4687206827486,Default Online Stores Location,3,
Product_a1e63f5b-089c-4316-9015-452fcf83fda5,Bâtonnets - Meditation,,,,,,,,,,,,,,8904245400286,Default Online Stores Location,12,
Product_f87eb1ae-d19b-476d-85de-308db9b70b14,Bâtonnets - Satya Positive Vibes,,,,,,,,,,,,,,8904245400101,Default Online Stores Location,12,
Product_1fdbbb61-e5bc-42a1-a72e-5ace269fe577,Bâtonnets - Vanilla,,,,,,,,,,,,,,8904245400323,Default Online Stores Location,12,
Product_5a60c422-3713-4caa-b59b-154a627920fe,Bâtonnets de buis 75mm (100 Pcs),,,,,,,,,,,,,,4823126601380,Default Online Stores Location,5,
Product_15b8ba22-95b3-4d34-84c9-7fbcc94a0862,Ciseaux Cuticules EXPERT 13 TYPE 3 (GAUCHER),,,,,,,,,,,,,,4820241067398,Default Online Stores Location,2,
Product_5da0caca-d720-4db9-ab90-ba6fb0b56bd1,Ciseaux Cuticules EXPERT 50 TYPE 1,,,,,,,,,,,,,,4820121599780,Default Online Stores Location,3,
Product_dfa014d6-2f74-4491-a9dd-5e259a1e6539,Ciseaux Cuticules EXPERT 50 TYPE 2,,,,,,,,,,,,,,4820121599773,Default Online Stores Location,3,
Product_9f38510f-3aef-45b6-b971-c4191258c915,Ciseaux Cuticules EXPERT 51 TYPE 3,,,,,,,,,,,,,,4820241067305,Default Online Stores Location,3,
Product_7cf2a065-33ab-4995-88a5-0db4a1241123,Ciseaux Cuticules SMART 40 TYPE 3,,,,,,,,,,,,,,4820241064229,Default Online Stores Location,3,
Product_260f4114-40ca-450e-93d5-19dacd7240e7,Ciseaux Cuticules SMART 50 TYPE 3,,,,,,,,,,,,,,4820241067503,Default Online Stores Location,3,
Product_0f9267e6-666d-44a7-a312-ad4b25d35da7,Cleaner - Maracujá,,,,,,,,,,,,,,5600920743169,Default Online Stores Location,6,
Product_f935921e-bb73-495e-9970-57c077be8573,Cônes - Dragon's Blood,,,,,,,,,,,,,,8904245402686,Default Online Stores Location,12,
Product_8a05e86d-8c9c-4279-a8c8-982b1fd755bd,Cônes - Palo Santo,,,,,,,,,,,,,,8904245402662,Default Online Stores Location,12,
Product_4fd16403-6e02-4216-8f3e-2a4d76286e55,Cônes - Sandal Wood,,,,,,,,,,,,,,8904245401009,Default Online Stores Location,12,
Product_6faea713-f149-452f-afab-9a62d75e0db2,Cônes - Sauge Blanche,,,,,,,,,,,,,,8904245402648,Default Online Stores Location,12,
Product_b9d7c583-24d9-47d5-89bb-ae9805ff316b,Diffuseur - Baltic Amber & Oud,,,,,,,,,,,,,,,Default Online Stores Location,4,
